# Lines starting with '#''' are comments. Comment lines must form a continuous        
# block at the beginning of this file.             
# The last comment line is not really a comment. It must contain the names of     
# the variables that are used in the code.            
# The data has to start in the following line.           
#                    
# List of variables:                 
# TS: timestep                  
# OHair1: OH-readical conc. based factor to multiply with avg. degradation rate in upper air      
# OHair2: OH-readical conc. based factor to multiply with avg. degradation rate in lower air      
# Based on data from:                
# Spivakovsky  C. M.  Logan J. A.  Montzka S. A.  Balkanski Y. J.  Foreman-Fowler M. 
# Jones D. B. A.  Horowitz L.W.  Fusco A. C.  Brenninkmeijer C. A. M.  Prather M. J.
# Wofsy S. C.  McElroy M. B.  2000  Three-dimensional climatological distribution of      
# tropospheric OH: Update and evaluation. Journal of geophysical research  Vol. 105        
# No. D7  pp 8931-8980.               
#                    
# precip: monthly average precipitation [m/h]               
# stwet: average length of rain events [h]             
# stdry: average length of dry spells [h]             
# tair1: temperature upper air [K]               
# tair2: temperature lower air [K]               
# tocean: temperature ocean surface [K]               
# tland: temperature land surface [K]               
# h1: Average upper air compartment height [m]             
# h2: Average lower air compartment height [m]             
# h5: Average ocean compartment depth [m]              
# runoffwater: water runoff                 
# tspe: time since plowing event [month]              
# perc8: percentage of ocean covered by Sea Ice [-]           
#                    
#CELL TS OHair1 OHair2 precip stwet stdry tair1 tair2 tocean tland h1 h2 h5 mixing12 mixing21 runoff6water tspe perc8  
245 2 0.4101643031 0.1035955131 0.0585050242 11.5270704176 136.4852745809 248.8488739014 270.6583526611 275.1576629639 257.0679702759 5247.5208007813 1176.5132202148 60.5391822815 2 6.576767168 0 7300 0.0207883532  
245 3 0.2205887362 0.0538316968 0.0653966974 11.7770147476 104.621540603 246.9903083801 269.5465774536 274.6507110596 252.979763031 5209.3005126953 1171.604473877 75.9615291595 2 7.600285769 0 8030 0.0282769377  
245 4 0.0673149227 0.0139101323 0.0665248464 11.6047605224 100.1166025657 245.8616516113 268.9163314819 273.8048461914 252.1464347839 5179.3721435547 1168.9119873047 100.5309837341 2 8.317124241 0 8760 0.0692627449  
245 5 0.0121108485 0.0032369952 0.0689165769 11.4003118471 91.3608987091 244.9636878967 268.3079589844 272.9951782227 251.7962028503 5148.2971679688 1166.2009094238 127.6989326477 2 8.249194814 0 730 0.1046963999  
245 6 0.0036558142 0.00185458 0.0790911063 12.5492430363 87.9449533987 243.424924469 266.9393310547 272.429069519 249.6161903381 5104.7308837891 1160.1744262695 149.1827667236 2 7.201299602 0 1460 0.1615011861  
245 7 0.0074505262 0.0035997925 0.0663930638 13.0272350526 96.0187207297 241.0779045105 263.4445602417 272.0280883789 246.2341835022 5058.0255859375 1144.8178771973 167.3709152222 2 6.944469116 0 2190 0.3286291833  
245 8 0.0456406588 0.0191379224 0.0641583972 14.7344269572 112.2581733288 239.8200996399 260.1943115234 271.7253692627 244.6726348877 5031.9299560547 1130.6803894043 179.5756187439 2 8.159172833 0 2920 0.5950000238  
245 9 0.1912752476 0.0963868973 0.0646464263 13.2467081426 85.4937300744 241.35495224 260.9828475952 271.5514587402 244.8654640198 5062.2682373047 1134.4403808594 182.9637313843 2 8.162964945 0 3650 0.779564127  
245 10 0.4094021018 0.2743440318 0.059884989 12.0182410112 102.6425805369 242.7768226624 263.4468856812 271.5241470337 249.2443870544 5096.9044189453 1144.8548156738 165.1181381226 2 7.94657279 0 4380 0.8031603031  
245 11 0.5810627717 0.4268227551 0.0613725652 11.5349871743 123.6338147086 245.162802124 266.6051055908 271.7911148071 255.1528816223 5156.4739501953 1158.4718139648 128.641526413 2 6.824352671 0 5110 0.6065127945  
245 12 0.6666045059 0.2701466646 0.0552966125 10.9397290588 172.6879052006 247.2839668274 268.701121521 272.9310012817 259.2679214478 5210.362890625 1167.7185302734 87.7212333679 2 5.41701118 0 5840 0.264746325  
246 1 0.5714794846 0.169070653 0.0475403555 11.9890817847 203.3718625374 248.8639953613 270.1312576294 274.523348999 262.1306594849 5246.8262451172 1174.1037963867 65.8613180161 2 5.82548288 0 6570 0.0836258378  
246 2 0.4098294941 0.113472653 0.0686804151 12.4558482208 100.857789551 248.4636772156 270.0056060791 275.2828979492 258.6420700073 5240.8233154297 1173.6186645508 63.5976921082 2 5.420785915 0 7300 0.0342782887  
246 3 0.2246280503 0.0570922873 0.0660138678 13.1817856653 102.0353073081 246.743927002 268.9769760132 274.8492111206 254.9457359314 5204.8922607422 1169.2114135742 78.4151931763 2 6.393460372 0 8030 0.0317486339  
246 4 0.0673356314 0.0146435751 0.0679979738 13.2406360663 91.6200823287 245.9298416138 268.5020675659 274.0149154663 254.977117157 5180.0765136719 1167.2253967285 102.2517612457 2.111639391 7.682304545 0 8760 0.0571242405  
246 5 0.0120923343 0.0030993309 0.0702006082 14.165504225 88.6062682917 245.1654502869 267.9333129883 273.1912506104 253.9905143738 5150.5407714844 1164.7740356445 131.9840808868 2 8.5681771 0 730 0.1006005406  
