#m: month      
#r cell number     
#c1 compartmet1 lower_gas     
#c2 compartmet2 lower_fine_particle     
#c3 compartmet3 lower_coarse_particle     
#e total emission in this cell (mol/h) 
#rgp: ratio of gas to particle  
#rfcp ratio of fine to coarse particle 
#m r c1 c2 c3 e(mol/h) rgp rfcp
1 883 2 9 10 13.9846723464 1 0
1 884 2 9 10 3.2596300717 1 0
1 885 2 9 10 2.8193212782 1 0
1 886 2 9 10 1.7837239423 1 0
1 887 2 9 10 0.915297774 1 0
1 888 2 9 10 0.2140427731 1 0
1 889 2 9 10 0.0100173282 1 0
1 890 2 9 10 0.0197695785 1 0
1 891 2 9 10 0.0605578879 1 0
1 892 2 9 10 0.132382224 1 0
1 893 2 9 10 0.0712617798 1 0
1 894 2 9 10 0.3956235944 1 0
1 895 2 9 10 0.4187646863 1 0
1 896 2 9 10 0.1406848936 1 0
1 897 2 9 10 0.0612156602 1 0
1 898 2 9 10 0.0204052273 1 0
1 903 2 9 10 0.0004789972 1 0
1 904 2 9 10 0.0014369917 1 0
1 909 2 9 10 0.0021829534 1 0
1 910 2 9 10 2.4988901832 1 0
1 911 2 9 10 13.067853275 1 0
1 912 2 9 10 31.7090606308 1 0
1 913 2 9 10 22.2320411425 1 0
1 914 2 9 10 27.129448246 1 0
1 915 2 9 10 30.4906146718 1 0
1 916 2 9 10 32.3155134463 1 0
1 917 2 9 10 14.1732269138 1 0
1 918 2 9 10 10.6834029612 1 0
1 919 2 9 10 7.5521682354 1 0
1 920 2 9 10 4.77951896 1 0
1 921 2 9 10 5.5359797948 1 0
1 922 2 9 10 17.585335225 1 0
1 923 2 9 10 18.8668125289 1 0
1 924 2 9 10 9.3803793384 1 0
1 925 2 9 10 9.2423566613 1 0
1 926 2 9 10 10.3067307947 1 0
1 927 2 9 10 10.1018951079 1 0
1 928 2 9 10 8.6278549955 1 0
1 929 2 9 10 7.7157454725 1 0
1 930 2 9 10 4.0795716276 1 0
1 931 2 9 10 2.3194482953 1 0
1 932 2 9 10 2.4353770941 1 0
1 933 2 9 10 1.3943052454 1 0
1 934 2 9 10 2.6335978345 1 0
1 935 2 9 10 3.3771443646 1 0
1 936 2 9 10 3.6249426778 1 0
1 937 2 9 10 3.0416313858 1 0
